lecture_file,source_folder,version,model_name,prompt_id,precision,recall,f1,claim_recall,context_precision,context_utilization,hallucination,faithfulness,version_label
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,phi4-mini_3.8b,prompt3,32.4,60.3,29.3,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,phi4-mini_3.8b,prompt3,32.4,60.3,29.3,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,phi4-mini_3.8b,prompt2,43.6,57.8,40.4,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,phi4-mini_3.8b,prompt2,43.6,57.8,40.4,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,phi4-mini_3.8b,prompt5,46.7,58.1,40.2,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,phi4-mini_3.8b,prompt5,46.7,58.1,40.2,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,phi4-mini_3.8b,prompt12,32.7,65.8,31.7,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,phi4-mini_3.8b,prompt12,32.7,65.8,31.7,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,phi4-mini_3.8b,prompt15,42.0,56.7,34.1,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,phi4-mini_3.8b,prompt15,42.0,56.7,34.1,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,phi4-mini_3.8b,prompt10,44.8,58.6,37.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,phi4-mini_3.8b,prompt10,44.8,58.6,37.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,phi4-mini_3.8b,prompt9,45.6,64.3,40.4,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,phi4-mini_3.8b,prompt9,45.6,64.3,40.4,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,phi4-mini_3.8b,prompt7,39.8,54.7,30.4,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,phi4-mini_3.8b,prompt7,39.8,54.7,30.4,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,phi4-mini_3.8b,prompt6,40.3,52.0,32.6,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,phi4-mini_3.8b,prompt6,40.3,52.0,32.6,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,phi4-mini_3.8b,prompt1,44.0,56.4,31.4,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,phi4-mini_3.8b,prompt1,44.0,56.4,31.4,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,phi4-mini_3.8b,prompt8,52.4,61.4,41.1,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,phi4-mini_3.8b,prompt8,52.4,61.4,41.1,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,phi4-mini_3.8b,prompt11,39.7,62.7,30.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,phi4-mini_3.8b,prompt11,39.7,62.7,30.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,llama3.2_1b,prompt14,25.5,48.3,29.4,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,llama3.2_1b,prompt14,25.5,48.3,29.4,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,llama3.2_1b,prompt13,31.4,44.4,31.6,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,llama3.2_1b,prompt13,31.4,44.4,31.6,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,llama3.2_1b,prompt4,31.6,44.4,26.3,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,llama3.2_1b,prompt4,31.6,44.4,26.3,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,llama3.2_1b,prompt3,23.5,39.2,21.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,llama3.2_1b,prompt3,23.5,39.2,21.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,llama3.2_1b,prompt2,28.8,38.2,29.1,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,llama3.2_1b,prompt2,28.8,38.2,29.1,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,llama3.2_1b,prompt5,38.6,40.4,32.9,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,llama3.2_1b,prompt5,38.6,40.4,32.9,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,llama3.2_1b,prompt12,27.3,42.3,26.8,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,llama3.2_1b,prompt12,27.3,42.3,26.8,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,llama3.2_1b,prompt15,26.8,44.3,25.8,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,llama3.2_1b,prompt15,26.8,44.3,25.8,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,llama3.2_1b,prompt10,29.2,44.0,27.4,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,llama3.2_1b,prompt10,29.2,44.0,27.4,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,llama3.2_1b,prompt9,36.0,42.6,32.8,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,llama3.2_1b,prompt9,36.0,42.6,32.8,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,llama3.2_1b,prompt7,25.6,49.7,28.1,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,llama3.2_1b,prompt7,25.6,49.7,28.1,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,llama3.2_1b,prompt6,26.0,40.2,23.1,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,llama3.2_1b,prompt6,26.0,40.2,23.1,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,llama3.2_1b,prompt1,38.6,38.8,34.5,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,llama3.2_1b,prompt1,38.6,38.8,34.5,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,llama3.2_1b,prompt8,37.9,46.3,35.5,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,llama3.2_1b,prompt8,37.9,46.3,35.5,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,llama3.2_1b,prompt11,32.6,36.8,28.4,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,llama3.2_1b,prompt11,32.6,36.8,28.4,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,deepseek-r1_1.5b,prompt14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,deepseek-r1_1.5b,prompt14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,deepseek-r1_1.5b,prompt13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,deepseek-r1_1.5b,prompt13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,deepseek-r1_1.5b,prompt4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,deepseek-r1_1.5b,prompt4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,deepseek-r1_1.5b,prompt3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,deepseek-r1_1.5b,prompt3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,deepseek-r1_1.5b,prompt2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,deepseek-r1_1.5b,prompt2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,deepseek-r1_1.5b,prompt5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,deepseek-r1_1.5b,prompt5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,deepseek-r1_1.5b,prompt12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,deepseek-r1_1.5b,prompt12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,deepseek-r1_1.5b,prompt15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,deepseek-r1_1.5b,prompt15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,deepseek-r1_1.5b,prompt10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,deepseek-r1_1.5b,prompt10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,deepseek-r1_1.5b,prompt9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,deepseek-r1_1.5b,prompt9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,deepseek-r1_1.5b,prompt7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,deepseek-r1_1.5b,prompt7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,deepseek-r1_1.5b,prompt6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,deepseek-r1_1.5b,prompt6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,deepseek-r1_1.5b,prompt1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,deepseek-r1_1.5b,prompt1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,deepseek-r1_1.5b,prompt8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,deepseek-r1_1.5b,prompt8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,deepseek-r1_1.5b,prompt11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,deepseek-r1_1.5b,prompt11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,granite3.2_2b,prompt14,9.5,28.4,10.5,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,granite3.2_2b,prompt14,9.5,28.4,10.5,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,granite3.2_2b,prompt13,13.6,36.9,10.3,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,granite3.2_2b,prompt13,13.6,36.9,10.3,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,granite3.2_2b,prompt4,5.8,17.9,4.6,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,granite3.2_2b,prompt4,5.8,17.9,4.6,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,granite3.2_2b,prompt3,11.0,31.6,8.8,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,granite3.2_2b,prompt3,11.0,31.6,8.8,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,granite3.2_2b,prompt2,7.5,29.8,8.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,granite3.2_2b,prompt2,7.5,29.8,8.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,granite3.2_2b,prompt5,13.0,32.6,10.8,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,granite3.2_2b,prompt5,13.0,32.6,10.8,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,granite3.2_2b,prompt12,12.5,34.9,11.7,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,granite3.2_2b,prompt12,12.5,34.9,11.7,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,granite3.2_2b,prompt15,8.5,31.2,7.5,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,granite3.2_2b,prompt15,8.5,31.2,7.5,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,granite3.2_2b,prompt10,8.3,29.0,7.7,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,granite3.2_2b,prompt10,8.3,29.0,7.7,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,granite3.2_2b,prompt9,11.4,33.5,11.2,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,granite3.2_2b,prompt9,11.4,33.5,11.2,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,granite3.2_2b,prompt7,4.1,30.3,4.4,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,granite3.2_2b,prompt7,4.1,30.3,4.4,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,granite3.2_2b,prompt6,7.6,23.3,6.7,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,granite3.2_2b,prompt6,7.6,23.3,6.7,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,granite3.2_2b,prompt1,7.4,31.0,7.5,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,granite3.2_2b,prompt1,7.4,31.0,7.5,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,granite3.2_2b,prompt8,15.0,27.6,11.9,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,granite3.2_2b,prompt8,15.0,27.6,11.9,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,granite3.2_2b,prompt11,15.8,30.8,15.8,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,granite3.2_2b,prompt11,15.8,30.8,15.8,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,mistral_7b,prompt14,35.2,47.4,33.1,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,mistral_7b,prompt14,35.2,47.4,33.1,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,mistral_7b,prompt13,43.1,52.1,41.8,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,mistral_7b,prompt13,43.1,52.1,41.8,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,mistral_7b,prompt4,36.5,52.9,39.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,mistral_7b,prompt4,36.5,52.9,39.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,mistral_7b,prompt3,32.9,55.1,37.8,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,mistral_7b,prompt3,32.9,55.1,37.8,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,mistral_7b,prompt2,49.1,50.5,44.6,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,mistral_7b,prompt2,49.1,50.5,44.6,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,mistral_7b,prompt5,47.8,47.9,43.4,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,mistral_7b,prompt5,47.8,47.9,43.4,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,mistral_7b,prompt12,47.1,52.5,41.5,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,mistral_7b,prompt12,47.1,52.5,41.5,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,mistral_7b,prompt15,40.1,60.3,42.0,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,mistral_7b,prompt15,40.1,60.3,42.0,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,mistral_7b,prompt10,44.4,53.4,42.7,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,mistral_7b,prompt10,44.4,53.4,42.7,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,mistral_7b,prompt9,44.1,49.2,39.5,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,mistral_7b,prompt9,44.1,49.2,39.5,0.0,0.0,0.0,0.0,0.0,v1_english
1_Классификаторы_KNN_и_наивный_байес.tex,analytics, version_1,mistral_7b,prompt7,33.6,51.6,34.2,0.0,0.0,0.0,0.0,0.0,v1_english
3. Инструменты обучения НС.tex,analytics, version_1,mistral_7b,prompt7,33.6,51.6,34.2,0.0,0.0,0.0,0.0,0.0,v1_english
